keyword,keyword_original,source,language,country,volume,difficulty,cpc,position,serp_features,traffic_potential,clicks,impressions,ctr,intent_query_type,intent_funnel_stage,intent_modality,intent_temporal,cluster_head,cluster_size,aio_eligibility,geo_opportunity,quick_win_flag,striking_distance_flag,branded_flag,question_flag,paa_flag,seasonality_class,long_tail_flag,score_main,score_quick_win,score_strategic,score_aeo_defensive,confidence_main,confidence_quick_win,confidence_strategic,confidence_aeo_defensive,recommended_action_class,source_file,source_row
running shoes break in period,running shoes break in period,generic,en,,1200,22,0.75,,,,,,,informational,awareness,typed,evergreen,running shoes break in period,1,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,65.6,69.8,64.1,28.2,0.659,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,18
running shoes when to replace tips,running shoes when to replace tips,generic,en,,890,18,0.65,,,,,,,informational,awareness,typed,evergreen,running shoes fitting tips,4,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,65.6,70.3,66.0,31.9,0.691,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,19
running shoes tips,running shoes tips,ubersuggest,en,,1200,22,0.65,,,,,,,informational,awareness,typed,evergreen,running shoes fitting tips,4,not_eligible,neither,yes,,,,,evergreen,mid,65.6,69.8,64.1,26.7,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,4
running shoes fitting tips,running shoes fitting tips,generic,en,,1900,28,0.85,,,,,,,informational,awareness,typed,evergreen,running shoes fitting tips,4,not_eligible,neither,yes,,,,,evergreen,mid,65.5,69.0,64.3,27.1,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,17
running shoes guide,running shoes guide,ubersuggest,en,,1900,28,0.85,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,,evergreen,mid,65.5,69.0,64.3,27.1,0.652,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,3
running shoes for casual runners,running shoes for casual runners,ubersuggest,en,,1900,28,0.95,,,,,,,informational,awareness,typed,evergreen,running shoes for casual runners,2,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,65.5,69.0,64.3,28.6,0.674,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,9
durable running shoes,durable running shoes,generic,en,,3200,35,1.25,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,,evergreen,mid,65.3,68.0,64.5,27.5,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,7
black friday running shoes,black friday running shoes,semrush,en,US,6600,55,1.85,25,shopping,45,,,,transactional,decision,typed,seasonal,running shoes,67,not_eligible,neither,,,,,,seasonal,mid,65.3,0.0,63.3,16.6,0.634,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,33
running shoes for flat feet women,running shoes for flat feet women,semrush,en,US,1300,26,1.35,,paa,,,,,informational,awareness,typed,evergreen,running shoes for flat feet,5,possibly_eligible,neither,yes,,,,yes,evergreen,long_tail_classical,65.3,69.3,65.9,32.2,0.602,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,36
best running shoes for marathon training under 200,best running shoes for marathon training under 200,ahrefs,en,US,290,18,1.45,,,52,,,,commercial_investigation,consideration,typed,evergreen,best running shoes for marathon training under 200,1,not_eligible,neither,yes,,,,,evergreen,long_tail_classical,65.2,72.4,67.0,26.4,0.825,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,6
running shoes with arch support,running shoes with arch support,ahrefs,en,US,5400,35,1.25,15,paa,185,,,,navigational,consideration,typed,evergreen,running shoes,67,not_eligible,neither,,third_page_lift,,,yes,evergreen,long_tail_classical,65.2,0.0,60.4,21.0,0.883,0.0,0.8,0.8,restructure,assets\samples_followup\ahrefs_export.csv,16
running shoes that last long,running shoes that last long,generic,en,,2400,32,1.15,,,,,,,informational,awareness,typed,evergreen,running shoes that last long,2,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,65.2,68.3,64.3,28.8,0.659,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,6
running shoes recommendations,running shoes recommendations,ubersuggest,en,,2400,32,1.05,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,,evergreen,mid,65.2,68.3,64.3,27.3,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,5
running shoes for long runs,running shoes for long runs,moz,en,US,1900,32,,,paa,,,,52.0,informational,awareness,typed,evergreen,running shoes that last long,2,possibly_eligible,neither,yes,,,,yes,evergreen,long_tail_classical,65.0,68.3,63.9,28.6,0.602,0.85,0.8,0.8,create,assets\samples_followup\moz_export.csv,24
what running shoes should i buy,what running shoes should i buy,ubersuggest,en,,2900,35,1.25,,,,,,,informational,awareness,typed,evergreen,what running shoes should i buy,2,eligible,aio_only,yes,,,yes,,evergreen,long_tail_classical,65.0,67.8,66.3,36.7,0.853,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,6
running shoes for hiking,running shoes for hiking,generic,en,,3600,38,1.25,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,64.9,0.0,64.4,27.6,0.659,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,4
cushioned running shoes,cushioned running shoes,generic,en,,8100,48,1.85,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,64.9,0.0,64.8,28.3,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,11
running shoes stack height,running shoes stack height,generic,en,,820,20,0.65,,,,,,,informational,awareness,typed,evergreen,running shoes stack height,1,not_eligible,neither,yes,,,,,evergreen,mid,64.9,69.6,63.7,26.3,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,24
running shoes for daily training,running shoes for daily training,moz,en,US,2400,35,,,ai_overview,,,,52.0,informational,awareness,typed,evergreen,running shoes for daily training,2,confirmed,aio_only,yes,,,,,evergreen,long_tail_classical,64.9,67.9,64.0,37.8,0.602,0.85,0.8,0.8,create,assets\samples_followup\moz_export.csv,21
comfortable running shoes for standing all day,comfortable running shoes for standing all day,semrush,en,US,880,22,1.05,,,,,,,informational,awareness,typed,evergreen,running shoes,67,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,64.6,69.1,65.6,31.9,0.716,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,37
waterproof running shoes,waterproof running shoes,generic,en,,4400,42,1.55,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,64.5,0.0,64.4,27.8,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,8
stability running shoes,stability running shoes,generic,en,,4400,42,1.55,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,64.5,0.0,64.4,27.8,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,12
best trail running shoes 2026,best trail running shoes 2026,semrush,en,US,4400,52,1.65,22,,68,,,,commercial_investigation,consideration,typed,event_driven,trail running shoes,7,not_eligible,neither,,,,,,event_driven,long_tail_classical,64.5,0.0,66.4,24.8,0.774,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,10
running shoes maintenance guide,running shoes maintenance guide,ubersuggest,en,,720,20,0.65,,,,,,,informational,awareness,typed,evergreen,running shoes pronation guide,2,not_eligible,neither,yes,,,,,evergreen,mid,64.5,69.3,63.4,26.2,0.652,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,14
lightweight running shoes,lightweight running shoes,generic,en,,5400,45,1.65,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,64.4,0.0,64.4,28.0,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,10
neutral running shoes,neutral running shoes,generic,en,,3600,40,1.45,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,64.4,0.0,64.2,27.6,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,13
running shoes gait analysis,running shoes gait analysis,generic,en,,820,22,0.75,,,,,,,informational,awareness,typed,evergreen,running shoes gait analysis,2,not_eligible,neither,yes,,,,,evergreen,mid,64.4,69.0,63.5,26.3,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,16
running shoes color options,running shoes color options,ubersuggest,en,,820,22,0.75,,,,,,,informational,awareness,typed,evergreen,running shoes affordable options,5,not_eligible,neither,yes,,,,,evergreen,mid,64.4,69.0,63.5,26.3,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,12
running shoes pronation guide,running shoes pronation guide,generic,en,,1300,28,0.95,,,,,,,informational,awareness,typed,evergreen,running shoes pronation guide,2,not_eligible,neither,yes,,,,,evergreen,mid,64.3,68.2,63.7,26.7,0.637,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,15
running shoes for recovery runs,running shoes for recovery runs,moz,en,US,1300,30,,,paa,,,,52.0,informational,awareness,typed,evergreen,running shoes for recovery runs,2,possibly_eligible,neither,yes,,,,yes,evergreen,long_tail_classical,64.3,68.1,63.5,28.2,0.602,0.85,0.8,0.8,create,assets\samples_followup\moz_export.csv,25
running shoes laces types,running shoes laces types,ubersuggest,en,,580,18,0.55,,,,,,,informational,awareness,typed,evergreen,running shoes laces types,1,not_eligible,neither,yes,,,,,evergreen,mid,64.3,69.4,63.3,26.0,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,13
running shoes shipping options,running shoes shipping options,ubersuggest,en,,580,18,0.55,,,,,,,informational,awareness,typed,evergreen,running shoes affordable options,5,not_eligible,neither,yes,,,,,evergreen,mid,64.3,69.4,63.3,26.0,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,18
breathable running shoes,breathable running shoes,generic,en,,2900,38,1.35,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,64.2,0.0,64.0,27.4,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,9
running shoes for marathon,running shoes for marathon,moz,en,US,3200,42,,,paa,,,,48.0,informational,awareness,typed,evergreen,marathon running shoes,5,not_eligible,neither,,,,,yes,evergreen,mid,64.0,0.0,63.8,27.5,0.602,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,7
running shoes for treadmill workouts,running shoes for treadmill workouts,generic,en,,820,24,0.85,,,,,,,informational,awareness,typed,evergreen,running shoes for treadmill workouts,1,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,63.9,68.4,63.3,27.8,0.659,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,5
example shoes contact,example shoes contact,ubersuggest,en,,820,12,0.35,,,,,,,navigational,consideration,typed,evergreen,example shoes near me,8,not_eligible,neither,,,yes,,,evergreen,mid,63.9,0.0,59.5,38.8,0.747,0.0,0.8,0.8,monitor,assets\samples_followup\ubersuggest_export.csv,22
running shoes wear pattern analysis,running shoes wear pattern analysis,generic,en,,580,20,0.65,,,,,,,informational,awareness,typed,evergreen,running shoes gait analysis,2,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,63.8,68.8,63.1,27.5,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,22
running shoes for experienced runners,running shoes for experienced runners,ubersuggest,en,,1300,30,1.05,,,,,,,informational,awareness,typed,evergreen,running shoes for casual runners,2,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,63.8,67.6,63.5,28.2,0.674,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,8
running shoes affordable options,running shoes affordable options,ubersuggest,en,,2400,38,1.25,,,,,,,informational,awareness,typed,evergreen,running shoes affordable options,5,not_eligible,neither,,,,,,evergreen,mid,63.7,0.0,63.7,27.3,0.622,0.0,0.8,0.8,monitor,assets\samples_followup\ubersuggest_export.csv,19
maximalist running shoes,maximalist running shoes,ahrefs,en,US,1900,38,1.25,18,paa,65,,,,informational,awareness,typed,evergreen,maximalist running shoes,1,not_eligible,neither,,third_page_lift,,,yes,evergreen,mid,63.4,0.0,63.3,27.1,0.565,0.0,0.8,0.8,restructure,assets\samples_followup\ahrefs_export.csv,13
running shoes for tempo runs,running shoes for tempo runs,moz,en,US,820,28,,,paa,,,,55.0,informational,awareness,typed,evergreen,running shoes for recovery runs,2,possibly_eligible,neither,yes,,,,yes,evergreen,long_tail_classical,63.4,67.7,62.9,27.8,0.602,0.85,0.8,0.8,create,assets\samples_followup\moz_export.csv,23
running shoes warranty information,running shoes warranty information,ubersuggest,en,,420,18,0.55,,,,,,,informational,awareness,typed,evergreen,running shoes warranty information,1,not_eligible,neither,yes,,,,,evergreen,mid,63.4,68.7,62.7,25.7,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,16
motion control running shoes,motion control running shoes,generic,en,,2100,38,1.35,,,,,,,informational,awareness,typed,evergreen,motion control running shoes,1,not_eligible,neither,,,,,,evergreen,mid,63.3,0.0,63.5,27.1,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\generic_export.csv,14
running shoes for racing,running shoes for racing,moz,en,US,2100,40,,,ai_overview,,,,48.0,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,,evergreen,mid,63.3,0.0,63.3,37.6,0.602,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,22
running shoes brand guide,running shoes brand guide,ubersuggest,en,,1300,32,1.15,,,,,,,informational,awareness,typed,evergreen,running shoes brand comparison,2,not_eligible,neither,yes,,,,,evergreen,mid,63.3,67.0,63.3,26.7,0.652,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,11
running shoes mid range options,running shoes mid range options,ubersuggest,en,,1300,32,0.95,,,,,,,informational,awareness,typed,evergreen,running shoes affordable options,5,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,63.3,67.0,63.3,28.2,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,21
running shoes for flat feet and overpronation,running shoes for flat feet and overpronation,semrush,en,US,720,28,1.45,,paa,,,,,informational,awareness,typed,evergreen,running shoes for flat feet,5,possibly_eligible,neither,yes,,,,yes,evergreen,long_tail_classical,63.0,67.4,64.6,31.7,0.623,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,38
running shoes storage tips,running shoes storage tips,ubersuggest,en,,290,15,0.45,,,,,,,informational,awareness,typed,evergreen,running shoes fitting tips,4,not_eligible,neither,yes,,,,,evergreen,mid,63.0,68.8,62.3,25.4,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,15
running shoes for trail running,running shoes for trail running,moz,en,US,2800,45,,,ai_overview,,,,52.0,informational,awareness,typed,evergreen,trail running shoes,7,confirmed,aio_only,,,,,,evergreen,long_tail_classical,62.9,0.0,63.3,37.9,0.602,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,8
running shoes premium options,running shoes premium options,ubersuggest,en,,1900,42,1.65,,,,,,,informational,awareness,typed,evergreen,running shoes affordable options,5,not_eligible,neither,,,,,,evergreen,mid,62.0,0.0,62.9,27.1,0.622,0.0,0.8,0.8,monitor,assets\samples_followup\ubersuggest_export.csv,20
running shoes for ultramarathon training,running shoes for ultramarathon training,generic,en,,580,28,1.45,,,,,,,informational,awareness,typed,evergreen,running shoes for daily training,2,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,61.8,66.4,62.3,27.5,0.659,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,2
running shoes for backpacking,running shoes for backpacking,generic,en,,290,22,0.95,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,,evergreen,mid,61.2,66.7,61.6,25.4,0.659,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,3
running shoes near me,running shoes near me,gsc,en,,,,,,,,480,3800,0.126,transactional,decision,voice,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,40.0,0.0,50.0,12.0,0.569,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,12
buy running shoes online,buy running shoes online,gsc,en,,,,,,,,210,1500,0.14,transactional,decision,typed,evergreen,what running shoes should i buy,2,not_eligible,neither,,,,,,evergreen,mid,40.0,0.0,50.0,12.0,0.569,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,13
running shoes vs walking shoes,running shoes vs walking shoes,gsc,en,,,,,,,,95,1850,0.051,commercial_investigation,consideration,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,long_tail_classical,40.0,0.0,54.0,24.5,0.556,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,16
running shoes christmas sale,running shoes christmas sale,gsc,en,,,,,,,,45,920,0.049,transactional,decision,typed,seasonal,running shoes christmas sale,1,not_eligible,neither,,,,,,seasonal,mid,40.0,0.0,48.5,9.0,0.569,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,24
trail running shoes review,trail running shoes review,gsc,en,,,,,,,,80,2100,0.038,commercial_investigation,consideration,typed,evergreen,trail running shoes,7,not_eligible,neither,,,,,,evergreen,mid,40.0,0.0,52.0,16.0,0.556,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,25
nike pegasus review,nike pegasus review,gsc,en,,,,,,,,120,3400,0.035,commercial_investigation,consideration,typed,evergreen,nike pegasus 41 review,2,not_eligible,neither,,,,,,evergreen,mid,40.0,0.0,52.0,16.0,0.556,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,26
hoka clifton review,hoka clifton review,gsc,en,,,,,,,,95,2800,0.034,commercial_investigation,consideration,typed,evergreen,hoka clifton 10 review,2,not_eligible,neither,,,,,,evergreen,mid,40.0,0.0,52.0,16.0,0.556,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,27
example shoes returns,example shoes returns,gsc,en,,,,,10,,,1420,1580,0.899,informational,awareness,typed,evergreen,example shoes near me,8,not_eligible,neither,,,yes,,,evergreen,mid,39.0,0.0,49.0,41.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,17
example shoes shipping,example shoes shipping,gsc,en,,,,,10,,,820,920,0.8909999999999999,informational,awareness,typed,evergreen,example shoes near me,8,not_eligible,neither,,,yes,,,evergreen,mid,39.0,0.0,49.0,41.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,18
example shoes warranty,example shoes warranty,gsc,en,,,,,10,,,580,680,0.853,informational,awareness,typed,evergreen,example shoes near me,8,not_eligible,neither,,,yes,,,evergreen,mid,39.0,0.0,49.0,41.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,19
example shoes coupon code,example shoes coupon code,gsc,en,,,,,10,,,2100,2350,0.894,informational,awareness,typed,evergreen,example shoes coupon code,6,not_eligible,neither,,,yes,,,evergreen,mid,39.0,0.0,49.0,41.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,21
example shoes size chart,example shoes size chart,gsc,en,,,,,15,,,1850,2400,0.7709999999999999,informational,awareness,typed,evergreen,example shoes size chart,1,not_eligible,neither,,,yes,,,evergreen,mid,37.8,0.0,49.0,41.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,20
best running shoes,best running shoes,gsc,en,,,,,51,,,820,15200,0.054000000000000006,commercial_investigation,consideration,typed,evergreen,best running shoes for beginners,2,not_eligible,neither,,,,,,evergreen,mid,37.5,0.0,52.0,16.0,0.583,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,3
running shoes review,running shoes review,gsc,en,,,,,84,,,420,8200,0.051,commercial_investigation,consideration,typed,evergreen,running shoes review 2026,3,not_eligible,neither,,,,,,evergreen,mid,37.5,0.0,52.0,16.0,0.583,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,5
example shoes vs nike,example shoes vs nike,gsc,en,,,,,84,,,210,2800,0.075,commercial_investigation,consideration,typed,evergreen,nike running shoes,4,not_eligible,neither,,,yes,,,evergreen,mid,37.5,0.0,54.0,44.0,0.583,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,36
example shoes vs adidas,example shoes vs adidas,gsc,en,,,,,91,,,180,2400,0.075,commercial_investigation,consideration,typed,evergreen,adidas running shoes,3,not_eligible,neither,,,yes,,,evergreen,mid,37.5,0.0,54.0,44.0,0.583,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,37
running shoes for men,running shoes for men,gsc,en,,,,,,,,95,3200,0.03,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,37.0,0.0,49.0,20.5,0.524,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,7
running shoes for flat feet,running shoes for flat feet,gsc,en,,,,,,,,45,1800,0.025,informational,awareness,typed,evergreen,running shoes for flat feet,5,possibly_eligible,neither,,,,,,evergreen,long_tail_classical,37.0,0.0,49.0,22.0,0.524,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,10
running shoes for plantar fasciitis,running shoes for plantar fasciitis,gsc,en,,,,,,,,68,2200,0.031,informational,awareness,typed,evergreen,running shoes for plantar fasciitis,3,possibly_eligible,neither,,,,,,evergreen,long_tail_classical,37.0,0.0,49.0,22.0,0.524,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,11
running shoes 2026,running shoes 2026,gsc,en,,,,,,,,180,4800,0.038,informational,awareness,typed,event_driven,running shoes review 2026,3,not_eligible,neither,,,,,,event_driven,mid,37.0,0.0,49.0,20.5,0.483,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,22
running shoes black friday,running shoes black friday,gsc,en,,,,,,,,120,2400,0.05,informational,awareness,typed,seasonal,running shoes black friday,1,not_eligible,neither,,,,,,seasonal,mid,37.0,0.0,47.5,17.5,0.483,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,23
running shoes for marathon,running shoes for marathon,gsc,en,,,,,,,,180,3200,0.055999999999999994,informational,awareness,typed,evergreen,marathon running shoes,5,not_eligible,neither,,,,,,evergreen,mid,37.0,0.0,49.0,20.5,0.524,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,32
running shoes for marathon training,running shoes for marathon training,gsc,en,,,,,,,,68,1450,0.047,informational,awareness,typed,evergreen,marathon running shoes,5,possibly_eligible,neither,,,,,,evergreen,long_tail_classical,37.0,0.0,49.0,22.0,0.524,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,33
running shoes for sprinting,running shoes for sprinting,gsc,en,,,,,,,,45,920,0.049,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,37.0,0.0,49.0,20.5,0.524,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,34
running shoes for ultramarathon,running shoes for ultramarathon,gsc,en,,,,,,,,28,520,0.054000000000000006,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,37.0,0.0,49.0,20.5,0.524,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,35
running shoes,running shoes,gsc,en,,,,,32,,,2840,42500,0.067,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,head,36.0,0.0,49.0,20.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,2
example shoes login,example shoes login,gsc,en,,,,,10,,,3450,3680,0.937,navigational,consideration,typed,evergreen,example shoes near me,8,not_eligible,neither,,,yes,,,evergreen,mid,36.0,0.0,44.0,33.0,0.608,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,4
how often should i replace running shoes,how often should i replace running shoes,gsc,en,,,,,42,,,310,4800,0.065,informational,awareness,typed,evergreen,how to choose running shoes,4,eligible,aio_only,,,,yes,,evergreen,long_tail_classical,35.5,0.0,51.0,29.8,0.695,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,15
nike running shoes,nike running shoes,gsc,en,,,,,45,,,150,4200,0.036000000000000004,informational,awareness,typed,evergreen,nike running shoes,4,not_eligible,neither,,,,,,evergreen,mid,35.3,0.0,49.0,20.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,9
running shoes for women,running shoes for women,gsc,en,,,,,82,,,180,4800,0.038,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,34.5,0.0,49.0,20.5,0.549,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,6
trail running shoes,trail running shoes,gsc,en,,,,,91,,,310,5400,0.057,informational,awareness,typed,evergreen,trail running shoes,7,not_eligible,neither,,,,,,evergreen,mid,34.5,0.0,49.0,20.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,8
how to choose running shoes,how to choose running shoes,gsc,en,,,,,75,,,180,3400,0.053,informational,awareness,typed,evergreen,how to choose running shoes,4,eligible,aio_only,,,,yes,,evergreen,long_tail_classical,34.5,0.0,49.0,28.8,0.671,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,14
running shoes anatomy,running shoes anatomy,gsc,en,,,,,72,,,210,3600,0.057999999999999996,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,34.5,0.0,49.0,20.5,0.506,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,28
how to clean running shoes,how to clean running shoes,gsc,en,,,,,54,,,420,5400,0.078,informational,awareness,typed,evergreen,how to choose running shoes,4,eligible,aio_only,,,,yes,,evergreen,long_tail_classical,34.5,0.0,49.0,28.8,0.671,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,29
how to wash running shoes,how to wash running shoes,gsc,en,,,,,62,,,280,3800,0.07400000000000001,informational,awareness,typed,evergreen,how to choose running shoes,4,eligible,aio_only,,,,yes,,evergreen,long_tail_classical,34.5,0.0,49.0,28.8,0.671,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,30
running shoes with arch support,running shoes with arch support,gsc,en,,,,,,,,110,2400,0.046,navigational,consideration,typed,evergreen,running shoes for high arches,2,not_eligible,neither,,,,,,evergreen,long_tail_classical,34.0,0.0,44.0,13.5,0.629,0.0,0.8,0.8,monitor,assets\samples_followup\gsc_export.csv,31
